Name [Unit],P1,P2,P3,P4,track-it,unit,definition,valuetype,type,measuringdevice
IsoCenterGroup/IsoCenterSize [mm],IsoCenterGroup,IsoCenterSize [mm],,,*MPC - IsoCenterSize,mm,MPC - IsoCenterGroup,Double,dtypes,Varian MPC
IsoCenterGroup/IsoCenterMVOffset [mm],IsoCenterGroup,IsoCenterMVOffset [mm],,,*MPC - IsoCenterMVOffset,mm,MPC - IsoCenterGroup,Double,dtypes,Varian MPC
IsoCenterGroup/IsoCenterKVOffset [mm],IsoCenterGroup,IsoCenterKVOffset [mm],,,*MPC - IsoCenterKVOffset,mm,MPC - IsoCenterGroup,Double,dtypes,Varian MPC
BeamGroup/BeamOutputChange [%],BeamGroup,BeamOutputChange [%],,,*MPC - BeamOutputChange,%,MPC - BeamGroup,Double,dtypes,Varian MPC
BeamGroup/BeamUniformityChange [%],BeamGroup,BeamUniformityChange [%],,,*MPC - BeamUniformityChange,%,MPC - BeamGroup,Double,dtypes,Varian MPC
BeamGroup/BeamCenterShift [mm],BeamGroup,BeamCenterShift [mm],,,*MPC - BeamCenterShift,mm,MPC - BeamGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMaxOffsetA [mm],CollimationGroup,MLCGroup,MLCMaxOffsetA [mm],,*MPC -MLCMaxOffsetA,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMaxOffsetB [mm],CollimationGroup,MLCGroup,MLCMaxOffsetB [mm],,*MPC -MLCMaxOffsetB,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMeanOffsetA [mm],CollimationGroup,MLCGroup,MLCMeanOffsetA [mm],,*MPC -MLCMeanOffsetA,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCMeanOffsetB [mm],CollimationGroup,MLCGroup,MLCMeanOffsetB [mm],,*MPC -MLCMeanOffsetB,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf2 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf2 [mm],*MPC - BankA Leaf2,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf3 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf3 [mm],*MPC - BankA Leaf3,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf4 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf4 [mm],*MPC - BankA Leaf4,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf5 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf5 [mm],*MPC - BankA Leaf5,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf6 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf6 [mm],*MPC - BankA Leaf6,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf7 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf7 [mm],*MPC - BankA Leaf7,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf8 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf8 [mm],*MPC - BankA Leaf8,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf9 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf9 [mm],*MPC - BankA Leaf9,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf10 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf10 [mm],*MPC - BankA Leaf10,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf11 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf11 [mm],*MPC - BankA Leaf11,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf12 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf12 [mm],*MPC - BankA Leaf12,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf13 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf13 [mm],*MPC - BankA Leaf13,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf14 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf14 [mm],*MPC - BankA Leaf14,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf15 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf15 [mm],*MPC - BankA Leaf15,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf16 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf16 [mm],*MPC - BankA Leaf16,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf17 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf17 [mm],*MPC - BankA Leaf17,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf18 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf18 [mm],*MPC - BankA Leaf18,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf19 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf19 [mm],*MPC - BankA Leaf19,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf20 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf20 [mm],*MPC - BankA Leaf20,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf21 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf21 [mm],*MPC - BankA Leaf21,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf22 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf22 [mm],*MPC - BankA Leaf22,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf23 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf23 [mm],*MPC - BankA Leaf23,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf24 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf24 [mm],*MPC - BankA Leaf24,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf25 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf25 [mm],*MPC - BankA Leaf25,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf26 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf26 [mm],*MPC - BankA Leaf26,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf27 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf27 [mm],*MPC - BankA Leaf27,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf28 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf28 [mm],*MPC - BankA Leaf28,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf29 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf29 [mm],*MPC - BankA Leaf29,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf30 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf30 [mm],*MPC - BankA Leaf30,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf31 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf31 [mm],*MPC - BankA Leaf31,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf32 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf32 [mm],*MPC - BankA Leaf32,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf33 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf33 [mm],*MPC - BankA Leaf33,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf34 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf34 [mm],*MPC - BankA Leaf34,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf35 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf35 [mm],*MPC - BankA Leaf35,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf36 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf36 [mm],*MPC - BankA Leaf36,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf37 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf37 [mm],*MPC - BankA Leaf37,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf38 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf38 [mm],*MPC - BankA Leaf38,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf39 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf39 [mm],*MPC - BankA Leaf39,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf40 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf40 [mm],*MPC - BankA Leaf40,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf41 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf41 [mm],*MPC - BankA Leaf41,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf42 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf42 [mm],*MPC - BankA Leaf42,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf43 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf43 [mm],*MPC - BankA Leaf43,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf44 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf44 [mm],*MPC - BankA Leaf44,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf45 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf45 [mm],*MPC - BankA Leaf45,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf46 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf46 [mm],*MPC - BankA Leaf46,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf47 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf47 [mm],*MPC - BankA Leaf47,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf48 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf48 [mm],*MPC - BankA Leaf48,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf49 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf49 [mm],*MPC - BankA Leaf49,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf50 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf50 [mm],*MPC - BankA Leaf50,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf51 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf51 [mm],*MPC - BankA Leaf51,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf52 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf52 [mm],*MPC - BankA Leaf52,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf53 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf53 [mm],*MPC - BankA Leaf53,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf54 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf54 [mm],*MPC - BankA Leaf54,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf55 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf55 [mm],*MPC - BankA Leaf55,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf56 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf56 [mm],*MPC - BankA Leaf56,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf57 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf57 [mm],*MPC - BankA Leaf57,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf58 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf58 [mm],*MPC - BankA Leaf58,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf59 [mm],CollimationGroup,MLCGroup,MLCLeavesA,MLCLeaf59 [mm],*MPC - BankA Leaf59,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf2 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf2 [mm],*MPC - BankB Leaf2,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf3 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf3 [mm],*MPC - BankB Leaf3,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf4 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf4 [mm],*MPC - BankB Leaf4,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf5 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf5 [mm],*MPC - BankB Leaf5,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf6 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf6 [mm],*MPC - BankB Leaf6,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf7 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf7 [mm],*MPC - BankB Leaf7,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf8 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf8 [mm],*MPC - BankB Leaf8,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf9 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf9 [mm],*MPC - BankB Leaf9,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf10 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf10 [mm],*MPC - BankB Leaf10,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf11 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf11 [mm],*MPC - BankB Leaf11,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf12 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf12 [mm],*MPC - BankB Leaf12,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf13 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf13 [mm],*MPC - BankB Leaf13,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf14 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf14 [mm],*MPC - BankB Leaf14,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf15 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf15 [mm],*MPC - BankB Leaf15,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf16 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf16 [mm],*MPC - BankB Leaf16,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf17 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf17 [mm],*MPC - BankB Leaf17,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf18 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf18 [mm],*MPC - BankB Leaf18,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf19 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf19 [mm],*MPC - BankB Leaf19,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf20 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf20 [mm],*MPC - BankB Leaf20,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf21 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf21 [mm],*MPC - BankB Leaf21,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf22 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf22 [mm],*MPC - BankB Leaf22,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf23 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf23 [mm],*MPC - BankB Leaf23,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf24 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf24 [mm],*MPC - BankB Leaf24,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf25 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf25 [mm],*MPC - BankB Leaf25,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf26 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf26 [mm],*MPC - BankB Leaf26,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf27 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf27 [mm],*MPC - BankB Leaf27,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf28 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf28 [mm],*MPC - BankB Leaf28,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf29 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf29 [mm],*MPC - BankB Leaf29,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf30 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf30 [mm],*MPC - BankB Leaf30,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf31 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf31 [mm],*MPC - BankB Leaf31,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf32 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf32 [mm],*MPC - BankB Leaf32,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf33 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf33 [mm],*MPC - BankB Leaf33,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf34 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf34 [mm],*MPC - BankB Leaf34,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf35 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf35 [mm],*MPC - BankB Leaf35,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf36 [mm],CollimationGroup,MLCGroup,MLCLeavesB,MLCLeaf36 [mm],*MPC - BankB Leaf36,mm,MPC - MLCGroup,Double,dtypes,Varian MPC
