Name [Unit],P1,P2,P3,P4,track-it,unit,definition,valuetype,type,measuringdevice
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf56 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesA,MLCBacklashLeaf56 [mm],*MPC - BankA BacklashLeaf56,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf57 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesA,MLCBacklashLeaf57 [mm],*MPC - BankA BacklashLeaf57,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf58 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesA,MLCBacklashLeaf58 [mm],*MPC - BankA BacklashLeaf58,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf59 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesA,MLCBacklashLeaf59 [mm],*MPC - BankA BacklashLeaf59,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf2 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf2 [mm],*MPC - BankB BacklashLeaf2,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf3 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf3 [mm],*MPC - BankB BacklashLeaf3,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf4 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf4 [mm],*MPC - BankB BacklashLeaf4,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf5 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf5 [mm],*MPC - BankB BacklashLeaf5,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf6 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf6 [mm],*MPC - BankB BacklashLeaf6,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf7 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf7 [mm],*MPC - BankB BacklashLeaf7,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf8 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf8 [mm],*MPC - BankB BacklashLeaf8,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf9 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf9 [mm],*MPC - BankB BacklashLeaf9,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf10 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf10 [mm],*MPC - BankB BacklashLeaf10,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf11 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf11 [mm],*MPC - BankB BacklashLeaf11,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf12 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf12 [mm],*MPC - BankB BacklashLeaf12,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf13 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf13 [mm],*MPC - BankB BacklashLeaf13,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf14 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf14 [mm],*MPC - BankB BacklashLeaf14,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf15 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf15 [mm],*MPC - BankB BacklashLeaf15,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf16 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf16 [mm],*MPC - BankB BacklashLeaf16,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf17 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf17 [mm],*MPC - BankB BacklashLeaf17,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf18 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf18 [mm],*MPC - BankB BacklashLeaf18,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf19 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf19 [mm],*MPC - BankB BacklashLeaf19,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf20 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf20 [mm],*MPC - BankB BacklashLeaf20,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf21 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf21 [mm],*MPC - BankB BacklashLeaf21,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf22 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf22 [mm],*MPC - BankB BacklashLeaf22,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf23 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf23 [mm],*MPC - BankB BacklashLeaf23,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf24 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf24 [mm],*MPC - BankB BacklashLeaf24,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf25 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf25 [mm],*MPC - BankB BacklashLeaf25,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf26 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf26 [mm],*MPC - BankB BacklashLeaf26,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf27 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf27 [mm],*MPC - BankB BacklashLeaf27,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf28 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf28 [mm],*MPC - BankB BacklashLeaf28,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf29 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf29 [mm],*MPC - BankB BacklashLeaf29,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf30 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf30 [mm],*MPC - BankB BacklashLeaf30,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf31 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf31 [mm],*MPC - BankB BacklashLeaf31,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf32 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf32 [mm],*MPC - BankB BacklashLeaf32,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf33 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf33 [mm],*MPC - BankB BacklashLeaf33,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf34 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf34 [mm],*MPC - BankB BacklashLeaf34,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf35 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf35 [mm],*MPC - BankB BacklashLeaf35,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf36 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf36 [mm],*MPC - BankB BacklashLeaf36,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf37 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf37 [mm],*MPC - BankB BacklashLeaf37,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf38 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf38 [mm],*MPC - BankB BacklashLeaf38,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf39 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf39 [mm],*MPC - BankB BacklashLeaf39,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf40 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf40 [mm],*MPC - BankB BacklashLeaf40,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf41 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf41 [mm],*MPC - BankB BacklashLeaf41,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf42 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf42 [mm],*MPC - BankB BacklashLeaf42,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf43 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf43 [mm],*MPC - BankB BacklashLeaf43,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf44 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf44 [mm],*MPC - BankB BacklashLeaf44,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf45 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf45 [mm],*MPC - BankB BacklashLeaf45,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf46 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf46 [mm],*MPC - BankB BacklashLeaf46,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf47 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf47 [mm],*MPC - BankB BacklashLeaf47,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf48 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf48 [mm],*MPC - BankB BacklashLeaf48,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf49 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf49 [mm],*MPC - BankB BacklashLeaf49,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf50 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf50 [mm],*MPC - BankB BacklashLeaf50,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf51 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf51 [mm],*MPC - BankB BacklashLeaf51,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf52 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf52 [mm],*MPC - BankB BacklashLeaf52,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf53 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf53 [mm],*MPC - BankB BacklashLeaf53,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf54 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf54 [mm],*MPC - BankB BacklashLeaf54,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf55 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf55 [mm],*MPC - BankB BacklashLeaf55,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf56 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf56 [mm],*MPC - BankB BacklashLeaf56,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf57 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf57 [mm],*MPC - BankB BacklashLeaf57,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf58 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf58 [mm],*MPC - BankB BacklashLeaf58,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf59 [mm],CollimationGroup,MLCBacklashGroup,MLCBacklashLeavesB,MLCBacklashLeaf59 [mm],*MPC - BankB BacklashLeaf59,mm,MPC - MLCBacklashGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsGroup/JawX1 [mm],CollimationGroup,JawsGroup,JawX1 [mm],,*MPC -JawX1,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsGroup/JawX2 [mm],CollimationGroup,JawsGroup,JawX2 [mm],,*MPC -JawX2,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsGroup/JawY1 [mm],CollimationGroup,JawsGroup,JawY1 [mm],,*MPC -JawY1,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsGroup/JawY2 [mm],CollimationGroup,JawsGroup,JawY2 [mm],,*MPC -JawY2,mm,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsParallelismGroup/JawParallelismX1 [°],CollimationGroup,JawsParallelismGroup,JawParallelismX1 [°],,*MPC -JawParallelismX1,Deg,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsParallelismGroup/JawParallelismX2 [°],CollimationGroup,JawsParallelismGroup,JawParallelismX2 [°],,*MPC -JawParallelismX2,Deg,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsParallelismGroup/JawParallelismY1 [°],CollimationGroup,JawsParallelismGroup,JawParallelismY1 [°],,*MPC -JawParallelismY1,Deg,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/JawsParallelismGroup/JawParallelismY2 [°],CollimationGroup,JawsParallelismGroup,JawParallelismY2 [°],,*MPC -JawParallelismY2,Deg,MPC - CollimationGroup,Double,dtypes,Varian MPC
CollimationGroup/CollimationRotationOffset [°],CollimationGroup,CollimationRotationOffset [°],,,*MPC -CollimationRotationOffset,Deg,MPC - CollimationGroup,Double,dtypes,Varian MPC
GantryGroup/GantryAbsolute [°],GantryGroup,GantryAbsolute [°],,,*MPC -GantryAbsolute,Deg,MPC - GantryGroup,Double,dtypes,Varian MPC
GantryGroup/GantryRelative [°],GantryGroup,GantryRelative [°],,,*MPC -GantryRelative,Deg,MPC - GantryGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchMaxPositionError [mm],EnhancedCouchGroup,CouchMaxPositionError [mm],,,*MPC -CouchMaxPositionError,mm,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchLat [mm],EnhancedCouchGroup,CouchLat [mm],,,*MPC -CouchLat,mm,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchLng [mm],EnhancedCouchGroup,CouchLng [mm],,,*MPC -CouchLng,mm,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchVrt [mm],EnhancedCouchGroup,CouchVrt [mm],,,*MPC -CouchVrt,mm,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchRtnFine [°],EnhancedCouchGroup,CouchRtnFine [°],,,*MPC -CouchRtnFine,Deg,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchRtnLarge [°],EnhancedCouchGroup,CouchRtnLarge [°],,,*MPC -CouchRtnLarge,Deg,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchPit [°],EnhancedCouchGroup,CouchPit [°],,,*MPC -CouchPit,Deg,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/CouchRol [°],EnhancedCouchGroup,CouchRol [°],,,*MPC -CouchRol,Deg,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
EnhancedCouchGroup/RotationInducedCouchShiftFullRange [mm],EnhancedCouchGroup,RotationInducedCouchShiftFullRange [mm],,,*MPC -RotationInducedCouchShiftFullRange,mm,MPC - EnhancedCouchGroup,Double,dtypes,Varian MPC
